title,subtitle,published,read,published_on,link,image_id,description
Demystifying DevOps,DevOps is no longer an option — either you adopt it or you lose,Jun-03,7 min read,In Better Programming,https://medium.com/better-programming/demystifying-devops-840aa292054a?source=friends_link&sk=4ab29123a559742f16a854ed05623350,1*jRGHzBpG_Yj9Jh3yh8bnOw.png,"<p>DevOps has been here for a while and taken the entire tech industry by storm. There was a time when there was much confusion about what DevOps is, what problem it solves, and whether it’s really needed.</p><p>It seems to have settled now, and more than 90% of the tech industry have either adopted DevOps or are on the journey of utilising it. DevOps is no longer an option: either you embrace it or you lose the competition.</p><p>While most tech companies are adopting DevOps, there are a multitude of developments going on. ...</p>"
Locality-Based Load Balancing in Kubernetes Using Istio,Route requests within your service mesh using geographic location to improve performance and save money,Jun-01,6 min read,In Better Programming,https://medium.com/better-programming/locality-based-load-balancing-in-kubernetes-using-istio-a4a9defa05d3?source=friends_link&sk=ea300c2f039dc8f30c690f01dae46327,0*-cDFcKrvzEu2E4u1,"<p>Istio is one of the most feature-rich and robust service meshes for Kubernetes on the market. It is an open-source tool developed by Google, Lyft, and IBM and is quickly gaining popularity.</p><p>One of its significant features is traffic management. Istio provides a Layer 7 Proxy that helps you route traffic on multiple factors, such as HTTP headers, source IP, URL path, and hostname.</p><p>Organisations that have a global presence often run a high-scale global service mesh that involves microservices spread across the globe. Microservices need to interact with each other to provide complete functionality to customers. ...</p>"
How to Validate Your Kubernetes Cluster With Sonobuoy,Run comprehensive conformance testing for your Kubernetes cluster,May-28,4 min read,In Better Programming,https://medium.com/better-programming/how-to-validate-your-kubernetes-cluster-with-sonobuoy-c91b282908fe?source=friends_link&sk=62e7ec05fa19a24411e7979ffe121dcf,1*0jO90OhiZvz45pU7S869hA.jpeg,"<p>Kubernetes is the de facto leader in container orchestration. As Kubernetes is an open-source, robust, and flexible platform, there are many implementations of it available in the market.</p><p>You can host cloud-native managed Kubernetes clusters (such as GKE, AKS, and ECS), run an on-premise installation with kubeadm, or set up Kubernetes the hard way. There are multiple ways of hosting Kubernetes, and each has its use cases.</p><p>With time, specific standards have evolved in the industry, and most setups need to conform to them for optimal performance and security.</p><p>As Kubernetes has multiple moving parts, it baffles most system administrators, and most of them wonder whether their configuration is correct and set up the way it should be. ...</p>"
How to Build Containers in a Kubernetes Cluster with Kaniko,Automate container builds within K8s without a Docker daemon,May-27,6 min read,In Better Programming,https://medium.com/better-programming/how-to-build-containers-in-a-kubernetes-cluster-with-kaniko-2d01cd3242a7?source=friends_link&sk=fc09a060bcaaca0042ce6c7a51f20ddf,1*l85zI6ot5txddTGeDq7BiA.png,"<p>Traditionally, organisations have built Docker images outside the Kubernetes cluster. However, with more and more companies adopting Kubernetes and the demand for virtual machines decreasing day by day, it makes sense to run your continuous integration builds within the Kubernetes cluster.</p><p>Building Docker images within a container is a security challenge because the container needs access to the worker node file system to connect with the Docker daemon.</p><p>You also need to run your container in privileged mode. That practice isn’t recommended as it opens up your nodes to numerous security threats. ...</p>"
How to Continuously Deliver Kubernetes Applications With Flux CD,GitOps for your Kubernetes workloads,May-26,7 min read,In Better Programming,https://medium.com/better-programming/how-to-continuously-deliver-kubernetes-applications-with-flux-cd-502e4fb8ccfe?source=friends_link&sk=bceb59badf7e71a216fb597770900bfd,1*sAVHfapQ9o1pm5yyCc1WKQ.jpeg,"<p>Flux CD is a continuous delivery tool that is quickly gaining popularity. Weaveworks initially developed the project, and they open-sourced it to the Cloud Native Computing Foundation.</p><p>The reasons for its success are that it is Kubernetes-aware and straightforward to set up. The most promising feature it delivers is that it allows teams to manage their Kubernetes deployments declaratively.</p><p>Flux CD synchronises the Kubernetes manifests stored in the source code repository with the Kubernetes cluster through periodically polling the repository, so teams don’t need to worry about running kubectl commands and monitoring the environment to see if they have deployed the right workloads. ...</p>"
Istio Service Mesh Multi-Cluster Kubernetes Environment,Manage microservices running multiple Kubernetes clusters in a single service mesh,May-25,6 min read,In Better Programming,https://medium.com/better-programming/istio-service-mesh-on-multi-cluster-kubernetes-environment-518094cdcdc4?source=friends_link&sk=22c02e803a5ef1c3473a79f50dfbec49,1*Xpbg9kPSIOv-flCUChv5xw.jpeg,"<p>Imagine you work for a typical enterprise, with multiple teams working together, delivering separate pieces of software that make up a single application. Your teams follow a microservices architecture and have a widespread infrastructure made of multiple Kubernetes clusters.</p><p>As the microservices spread across multiple clusters, you need to architect a solution to manage all microservices centrally. Fortunately, you’re using Istio, and providing this solution is just another configuration change.</p><p>A service mesh technology like Istio helps you securely discover and connect microservices spread across multiple clusters and environments. ...</p>"
Traffic Mirroring in Kubernetes Using Istio,How to run robust operational acceptance tests for your Kubernetes microservices,May-22,6 min read,In Better Programming,https://medium.com/better-programming/traffic-mirroring-in-kubernetes-using-istio-dad0976b4e1?source=friends_link&sk=04be0e97bc4974592470598e7c5b5f78,1*IOg4ZlvI8cwy93rnnLVXMw.jpeg,"<p>Having multiple versions of your application running at the same time gives you a fair amount of flexibility. It enables you to switch over and switch back traffic between various versions as required. It allows you to do canary releases, A/B testing, and controlled rollouts to production.</p><p>With the advent of microservices and container orchestration platforms like Kubernetes to support it, it has become the new norm. With Istio, you can create a robust deployment and release strategy through traffic mirroring.</p><p>This article is a follow up to “Kubernetes Services over HTTPS With Istio’s Secure Gateways.” ...</p>"
How to Authorize Non-Kubernetes Clients With Istio Your K8s Cluster,Use JSON web tokens to authorize clients to interact with your Kubernetes microservices using Istio,May-20,5 min read,In Better Programming,https://medium.com/better-programming/how-to-authorize-non-kubernetes-clients-with-istio-on-your-k8s-cluster-8a90fe95b137?source=friends_link&sk=f44c88d1dae42bb7faa9b52f10f92ebe,1*bsKcUBHiLMCAQPmPILgHCA.jpeg,"<p>Istio is one of the most desired Kubernetes aware-service mesh technologies that grants you immense power if you host microservices on Kubernetes.</p><p>In my last article, “Enable Access Control Between Your Kubernetes Workloads Using Istio,” we discussed how to use Istio to manage access between Kubernetes microservices.</p><p>That works well for internal communication. However, most use cases require you authorise non-Kubernetes clients to connect with your Kubernetes workloads - for example, if you expose APIs for third parties to integrate with.</p><p>Istio furnishes this capability through its Layer 7 Envoy proxies and utilises JSON Web Tokens (JWT) for authorisation. ...</p>"
Enable Access Control Between Your Kubernetes Workloads Using Istio,A guide to Istio authorization between your microservices within Kubernetes,May-19,4 min read,In Better Programming,https://medium.com/better-programming/enable-access-control-between-your-kubernetes-workloads-using-istio-cf72a9f9bd5e?source=friends_link&sk=a5c9ddc4eeeccf7e62a2551014ef4803,1*pffSuk3T7wjlkp5izE-9nQ.jpeg,"<p>Istio is one of the most popular service mesh technologies that you can run over Kubernetes to control your microservices effectively. Apart from allowing traffic management and visualization, Istio also provides a lot of fine-grained layer 7 security features for your Kubernetes workloads.</p><p>While you can use the Kubernetes network policy to build a layer 3 firewall, it does not provide you with advanced security that is used by most modern firewalls and intrusion detection software.</p><p>Istio fills this gap by providing granular control for your workloads. ...</p>"
Enable Mutual TLS Authentication Between Your Kubernetes Workloads Using Istio,A guide to Istio authentication and mutual TLS between your microservices Kubernetes,May-13,5 min read,In Better Programming,https://medium.com/better-programming/enable-mutual-tls-authentication-between-your-kubernetes-workloads-using-istio-65338c8adf82?source=friends_link&sk=63890188e7ae48e7576e5ce66c10b57d,1*q_4OezvkEa-wVB20bvpjaA.jpeg,"<p>In software engineering, access control generally consists of two parts, authentication and authorisation. While authentication refers to understanding whether the requestor is what it claims to be, authorisation refers to specifying what actions the requestor is allowed to perform.</p><p>This article is a follow up to “How to Harden Your Microservices on Kubernetes Using Istio”. Today, let’s discuss how to enable mutual TLS authentication between your Kubernetes microservices using Istio.</p><p>Prerequisites</p><p>This article assumes that you have knowledge of Kubernetes and Microservices and are aware of Istio. For an introduction to Istio, I recommend you check out How to Manage Microservices on Kubernetes With Istio. ...</p>"
How to Harden Your Microservices Kubernetes Using Istio,How Istio implements security for your microservices,May-12,6 min read,In Better Programming,https://medium.com/better-programming/how-to-harden-your-microservices-on-kubernetes-using-istio-29c23dd90670?source=friends_link&sk=879a41beb17056e833a9a287212f4b9a,1*g0zGM7_4j0jmEo4IEzhnhQ.jpeg,"<p>Running microservices in production provides many benefits. Some of them are independent scalability, agility, the reduced scope of change, frequent deployments, and reusability. However, they come with their own set of challenges.</p><p>With a monolith, the idea of security revolves around securing a single application. However, a typical enterprise-grade microservice application may contain hundreds of microservices interacting with each other.</p><p>Kubernetes provides an excellent platform for hosting and orchestrating your microservices. However, all interactions between the microservices are insecure by default. They communicate on plaintext HTTP, and it might not be enough to satisfy your security requirements.</p><p>To apply the same principles on microservices that you would use on a typical enterprise monolith, you need to ensure the...</p>"
How to Visualise Your Istio Service Mesh Kubernetes,Use Prometheus and Grafana to visualise the metrics of your microservices,May-08,5 min read,In Better Programming,https://medium.com/better-programming/how-to-visualise-your-istio-service-mesh-on-kubernetes-209c7b439a41?source=friends_link&sk=30a1f6db7c82a1f3656911fa19f227bd,1*pPM9DzL3h8tUn1_U4gR9LA.jpeg,"<p>If you’re running Istio to manage your microservices within Kubernetes, collecting and visualising your metrics is one of the key features it provides. It gives you a lot of control and power over your mesh and allows you to understand your microservices better.</p><p>It not only provides your operations team with useful insights to troubleshoot issues but also provides your Security team with valuable data. That helps them do things like hooking your mesh with intrusion-detection software to secure your application further.</p><p>This story is a follow up to “How to Use Istio to Inject Faults to Troubleshoot Microservices in Kubernetes.” Today, let’s discuss collecting and visualising the Istio service mesh using Prometheus and Grafana. ...</p>"
How to Use Istio to Inject Faults to Troubleshoot Microservices in Kubernetes,Improve your microservices running Kubernetes,May-04,6 min read,In Better Programming,https://medium.com/better-programming/how-to-use-istio-to-inject-faults-to-troubleshoot-microservices-in-kubernetes-108250a85abc?source=friends_link&sk=6fea51561af37fe93d2b35616ae8e15c,1*MwXaQ7Mx8IEGILGwQishZg.jpeg,"<p>Imagine you’ve deployed the reviews-v2 microservice into production, and you have an issue. Users are complaining they can’t see the reviews in your application intermittently.</p><p>You’ve run a thorough investigation in your development environment, but you’re not able to find what the problem is.</p><p>The only way to investigate the problem is by looking at the traffic flowing through your production services. Someone from your operations team notice timeouts in the chain, and you need to investigate further.</p><p>This story is a follow-up to “Locality-Based Load Balancing in Kubernetes Using Istio.” Today, let’s discuss fault injection and troubleshooting.</p><p>What’s Fault Injection?</p><p>Fault injection, in the context of Istio, is a mechanism by which we can purposefully inject some issues within our mesh to mimic how our application would behave in case it encounter such problems. ...</p>"
How to Manage Traffic Using Istio Kubernetes,"Insights into request routing, traffic splitting and user identity-based routing using Istio Kubernetes",Apr-30,6 min read,In Better Programming,https://medium.com/better-programming/how-to-manage-traffic-using-istio-on-kubernetes-cd4b96e00b57?source=friends_link&sk=725bf02f01c5fdf9e0a54f88909cd268,0*VE29ZE70iu00jmBB,"<p>Traffic management is one of the core features of Istio. If you are using Istio to manage your microservices on Kubernetes, you can have fine-grained control over how they interact with each other. That will also help you define how the traffic flows through your service mesh.</p><p>This story is a follow-up to Getting Started With Istio on Kubernetes. Today, let’s discuss traffic management.</p><p>In the last article, we installed Istio on our Kubernetes cluster and deployed a sample Book Info application on it. ...</p>"
Getting Started With Istio Kubernetes,Install and configure Istio within your Kubernetes cluster,Apr-28,7 min read,In Better Programming,https://medium.com/better-programming/getting-started-with-istio-on-kubernetes-e582800121ea?source=friends_link&sk=3a3c0b65a95692c3c5edbd0ea650b284,0*vNF1YOd0GFz0x609,"<p>Istio is by far the most popular service mesh that integrates with Kubernetes very well. For a microservices architecture, Istio is not only useful to have but a necessity. This story is a follow-up to How Istio Works Behind the Scenes on Kubernetes. Today, let’s discuss setting up Istio in your Kubernetes cluster.</p><p>Prerequisites</p><p>You need to have a running Kubernetes cluster to install Istio. If you are running on a cloud, a managed service like Google Kubernetes Engine would be a perfect fit, as it allows automatic sidecar injection.</p><p>I am going to discuss how to install Istio in the cloud using GKE. However, there are only minor differences if you are running it within your self-hosted or on-premise Kubernetes cluster. ...</p>"
How Istio Works Behind the Scenes Kubernetes,Insights into Istio architecture and how its various moving parts manage microservices in Kubernetes,Apr-27,7 min read,In Better Programming,https://medium.com/better-programming/how-istio-works-behind-the-scenes-on-kubernetes-aeb8003f2cb5?source=friends_link&sk=9230c6269c3dde98c356a27603b00e37,1*9s5xMyOyZn4kswHD1kc6Fw.jpeg,"<p>If you’re doing microservices on Kubernetes, then a service mesh like Istio can work wonders for you. This article is a follow up on “How to Manage Microservices on Kubernetes With Istio.” Today, let’s discuss Istio architecture.</p><p>Istio helps you manage microservices through two major components:</p><p>Data Plane. These are the sidecar Envoy proxies Istio injects into your microservices. These do the actual routing between your services and also gather telemetry data.</p><p>Control Plane. This is the component that tells the data plane how to route traffic. It also stores and manages the configuration and helps administrators interact with the sidecar proxy and control the Istio service mesh. ...</p>"
How to CI/CD Google Cloud Platform,"Using Cloud Build, Google Container Registry, and Cloud Run to continuously build and deploy a simple Java application",Apr-27,5 min read,In The Startup,https://medium.com/swlh/how-to-ci-cd-on-google-cloud-platform-1e631cded335?source=friends_link&sk=07d3d86dffd8c45ef9bfa64914cd71cf,0*639cEyVUL2Nd2TWU,"<p>Google Cloud Platform is one of the leading cloud providers in the public cloud market. It provides a host of managed services, and if you are running exclusively on Google Cloud, it makes sense to use the managed CI/CD tools that Google Cloud provides.</p><p>A typical Continuous Integration & Deployment setup on Google Cloud Platform looks like the below.</p><p>Image for post</p><p>Google Cloud CI/CD</p><p>Developer checks in the source code to a Version Control system such as GitHub</p><p>GitHub triggers a post-commit hook to Cloud Build.</p><p>Cloud Build builds the container image and pushes to Container Registry.</p><p>Cloud Build then notifies Cloud Run to redeploy</p><p>Cloud Run pulls the latest image from the Container Registry and runs it. ...</p>"
How Corporate Parasites thrive in the workplace,Ways to identify and weed out Perception Management from your organisation,Apr-25,6 min read,In Data Driven Investor,https://medium.com/datadriveninvestor/how-corporate-parasites-thrive-in-the-workplace-5368b446f244?source=friends_link&sk=291ccdd302edefe7e0a23261f58336f4,0*rsNg400LQfTBHqRW,"<p>In my initial years as a graduate techie, straight out of the university, I was very excited when I joined my dream tech firm. I was finally going to do something interesting, and there was a lot to learn and do. As most freshers have the typical spark and want to try out stuff, naturally I had the urge to do things quickly and make complicated things seem manageable.</p><p>Honestly, that wasn’t to gain brownie points but for my internal satisfaction and my wish to learn more. I thought that I would reap the rewards for my work. ...</p>"
How to Manage Microservices Kubernetes With Istio,How to implement DevSecOps in a microservices architecture with a service mesh,Apr-24,6 min read,In Better Programming,https://medium.com/better-programming/how-to-manage-microservices-on-kubernetes-with-istio-c25e97a60a59?source=friends_link&sk=2477d2ededc816e5309ab1778599b8e1,1*52Wm1a8SR7XTWM-XMCyKug.jpeg,"<p>Containers and container orchestration platforms like Kubernetes have simplified the way we run microservices.</p><p>Container technology helped popularize the concept as it made it possible to run and scale different components of the applications in self-contained units with their independent runtimes.</p><p>While a microservices architecture enables faster delivery by reducing the scope of change to smaller parts, improving system resilience, simplifying testing, and scaling parts of the application independently, implementing it has its challenges.</p><p>Microservices are a management and security nightmare as instead of having one monolithic application, you now have multiple moving parts, each catering to specific functionality.</p><p>An extensive app can utilize hundreds of microservices interacting with each other and soon you may find things are overwhelming. The main questions your security and operations teams may ask you...</p>"
How to Scale Kubernetes Applications Using Custom Metrics,Scale your containers using custom Stackdriver metrics that are important to your business,Apr-22,8 min read,In Better Programming,https://medium.com/better-programming/how-to-scale-kubernetes-applications-using-custom-metrics-6cf02571c5e4?source=friends_link&sk=11820cc5bd287f6650513bbff59980d1,0*EkgNtmZL0OipjIM1,"<p>If you look at the most popular features of Kubernetes, chances are that autoscaling will top the list. Kubernetes provides a resource called “HorizontalPodAutoscaler,” which is a built-in feature to scale your containers based on multiple factors, such as resource utilisation (CPU and memory), network utilisation, or traffic within the pods. If your cluster is nearing the resource limit and you need to add more nodes in the cluster, then managed Kubernetes services such as GKE provide Kubernetes Cluster Autoscaler out of the box.</p><p>Imagine you have launched an app and you naturally started small, as you did not anticipate much demand. However, a social media post gets your application to go viral and suddenly people realise how cool it is. Now everyone wants to use your app and there is a massive surge in traffic! You get worried because you don’t know whether your application can take on the additional load. ...</p>"
How to Secure Kubernetes Using Network Policies,An illustrated guide to Kubernetes network policies,Apr-22,9 min read,In Better Programming,https://medium.com/better-programming/how-to-secure-kubernetes-using-network-policies-bbb940909364?source=friends_link&sk=1b817da088a6785fe6390edc349a24d4,0*UxM8DoQHShWLbXdI,"<p>With more and more organisations adopting Kubernetes and running it in production, it is a necessity to understand the core of it and secure it appropriately. Kubernetes changes the traditional concept of running a separate virtual machine for every application and instead allows you to forget about the underlying infrastructure and just deploy pods in a cluster of generic nodes. That not only simplifies the architecture but also makes managing infrastructure easy.</p><p>Kubernetes is an open-source container orchestration platform, and the code base is available online on GitHub. While this enables contribution from the community, it also provides hackers with an opportunity to find loopholes and prepare for an attack. Most automation tools that set up Kubernetes cater to a variety of users, and therefore they do not enforce all security by default. ...</p>"
How to Discover non-Kubernetes applications using Kubernetes Service Discovery,How to use Ingress Resources to discover Non-Kubernetes services using NGINX and BIND DNS,Apr-21,7 min read,In Self,https://medium.com/@bharatmicrosystems/service-discovery-of-non-kubernetes-workloads-from-kubernetes-and-vice-versa-84a575ec4d8?source=friends_link&sk=de18ab5c72d4302c1634884230040213,0*3O7PwBTVgabeCEXu,<p>Kubernetes provides an excellent inbuilt service discovery through kubernetes services and employs the CoreDNS to resolve services internally within the Kubernetes cluster. ...</p>
How to Secure Kubernetes the Easy Way,How to use Terraform and Kubeadm to bootstrap your Kubernetes cluster,Apr-21,9 min read,In The Startup,https://medium.com/swlh/how-to-secure-kubernetes-the-easy-way-f37052139280?source=friends_link&sk=869004b4fd8383333efa0eb8186206da,0*Z-7kVZsMK0OE-N5_,<p>Kubernetes has become a standard for running and managing container-based applications with more and more organisations moving towards and adopting it within their landscape. ...</p>
How to utilise X509 Client Certificates & RBAC to secure Kubernetes,How We Effectively Managed Access to Our Kubernetes Cluster,Apr-20,10 min read,In The Startup,https://medium.com/swlh/how-we-effectively-managed-access-to-our-kubernetes-cluster-38821cf24d57?source=friends_link&sk=2aef2012888303820ca8f4c7ca012022,0*zwy6fTDsKd3syo-A,"<p>In most organisations, adopting Kubernetes starts with developers experimenting and then running a Proof of Concept. They then spread the word, and decision-makers start getting interested and see the value. We had a similar path to our Kubernetes journey. We started with a Proof of Concept for our small five-member development team, ran a pilot with a little six-node Kubernetes cluster, and soon the management became interested in the platform and wanted to adopt it across.</p><p>Well, doing a Proof of Concept is one thing, and running Kubernetes for a sizeable multi-discipline organisation is another beast. Managing Kubernetes within the small group wasn’t tricky, and we started with sharing the admin.conf file. This file gives root access to anyone using the cluster. Therefore, this was not going to work with multiple teams working separately. We needed to do some serious thinking regarding organising, controlling access, and securing the cluster. If you don’t secure your Kubernetes cluster correctly, terrible things may happen, and it can not only hamper a company financially but also result in a loss of reputation and potential lawsuits no admin would want. ...</p>"
How to Create a Highly Available NGINX Load Balancer Google Cloud Platform,"Highly Available NGINX Load Balancer Google Cloud using Pacemaker, Corosync and Static IPs CentOS 7",Apr-17,10 min read,In Level Up Coding,https://levelup.gitconnected.com/how-to-create-a-highly-available-nginx-load-balancer-on-google-cloud-platform-9ebc8b6abb09?source=friends_link&sk=6834d9206af17d039b16005a2a16dbf8,0*YAyaoqQvRKDVEzLq,"<p>With the advent of virtualised cloud-based infrastructure, more and more organisations are migrating to the cloud. There are a lot of advantages in doing so, but near-infinite scalability, high availability, cost reduction, and performance improvement are significant drivers.</p><p>Most scalable and highly available applications run behind some form of a load balancer. Google Cloud Platform, which is one of the leading cloud providers, enables multiple types of load balancing as a managed service for your needs. If you want to know more about it, then please check out https://cloud.google.com/load-balancing/docs/choosing-load-balancer.</p><p>Google Cloud also provides a great flowchart to choose between Load Balancers for your specific requirements. ...</p>"
How to Secure Kubernetes the Hard Way,An adaptation of Kelsy Hightower’s “Kubernetes the Hard Way” using Terraform to create a hardened cluster CentOS running Docker,Apr-15,15 min read,In Better Programming,https://medium.com/better-programming/how-to-secure-kubernetes-the-hard-way-9b421b36aba4?source=friends_link&sk=a291da810bf315aa190b9fe808bd7204,1*yP7eqmpv4z-v6codS3skSg.jpeg,"<p>Kubernetes is open-source, robust, and one of the most popular container orchestration platforms available in the market. However, because of its complexity, not everyone can secure it appropriately.</p><p>Experienced system administrators also struggle with its multiple moving parts and numerous settings (which they built in to provide flexibility).</p><p>Therefore, it might be a reason why you might end up in a disaster. ...</p>"
How to Harden Your Kubernetes Cluster for Production,Best practices for securing your Kubernetes cluster in production,Apr-09,9 min read,In Better Programming,https://medium.com/better-programming/how-to-harden-your-kubernetes-cluster-for-production-7e47990efc2a?source=friends_link&sk=35a2a2d728199165b27cb7e05551e287,1*4yQAccLVjlRfGLWkLLzaKQ.jpeg,"<p>Kubernetes has changed the way organizations deploy and run their applications, and it has created a significant shift in mindsets. While it has already gained a lot of popularity and more and more organizations are embracing the change, running Kubernetes in production requires care.</p><p>Although Kubernetes is open source and does it have its share of vulnerabilities, making the right architectural decision can prevent a disaster from happening.</p><p>You need to have a deep level of understanding of how Kubernetes works and how to enforce the best practices so that you can run a secure, highly available, production-ready Kubernetes cluster.</p><p>Although Kubernetes is a robust container orchestration platform, the sheer level of complexity with multiple moving parts overwhelms all administrators. ...</p>"
How to Terraform With Jenkins and Slack Google’s Cloud Platform,An illustrated guide to Hashicorp’s Terraform,Apr-06,10 min read,In Better Programming,https://medium.com/better-programming/how-to-terraform-with-jenkins-and-slack-on-googles-cloud-platform-56c5e8b3aeeb?source=friends_link&sk=bcaf32a62085e1ff98d44e87eb9d9c85,1*XnJVIsOVMAnxmGrQT0D4rg.jpeg,"<p>Terraform is the most popular Infrastructure as Code (IAC) tool provided by Hashicorp. With the advent of cloud and self-serviced infrastructure, a groundbreaking concept called Infrastructure as Code (IaC) emerged.</p><p>The reason for this is simple. Before IaC, teams used to build and configure infrastructure manually. Slowly and gradually, the infrastructure grew in size and complexity, leading to inconsistency, which led to multiple issues such as cost, scalability, and availability.</p><p>Infrastructure built manually needs to be maintained manually. ...</p>"
How We Scaled Jenkins in Less Than a Day,Scale your Jenkins agents using Kubernetes,Apr-02,8 min read,In Better Programming,https://medium.com/better-programming/how-we-scaled-jenkins-in-less-than-a-day-ccbcada8e4a4?source=friends_link&sk=90a2583b6bf873300986b681512652b4,1*Kj--YsDPwmsiosS5c53FnA.jpeg,"<p>If you’re alive and are an engineer, then chances are that you’re already using Jenkins - or have at least heard about it.</p><p>Jenkins is the most popular open-source continuous integration and continuous delivery (CI/CD) tool in the market. The reason for its popularity? Solid backing by organisations like CloudBees, excellent community support, thousands of plugins with a huge developer base, and the sheer simplicity of its setup and use.</p><p>This allows organisations to hook up Jenkins with popular version-control tools such as Git, Subversion, and Mercurial; to integrate with code-analysis software such as SonarQube and Fortify; to run Maven and Gradle builds; to execute JUnit and Selenium tests; and much more. ...</p>"
"Don’t Do Agile, Be Agile",Why Scrum is not the silver bullet,Mar-31,6 min read,In Better Programming,https://medium.com/better-programming/dont-do-agile-be-agile-5c8832c43181?source=friends_link&sk=7c469587388ecf4b5c88c70d63042f12,0*lD_JlAs121Xnd2Wp,"<p>If your organisation didn’t lock itself up in the 1990s, the chances are that you follow Agile. For most people, Agile means Scrum. In many job interviews with prospective candidates, I always hear, “We follow Scrum, and therefore we are Agile.” Well, this is not always true.</p><p>Being Agile is a behavioural trait rather than a method that people follow. Yes, Agile methodologies like Scrum do help teams be more Agile, but doing Scrum does not mean you are Agile. Agility comes from a simple fact: how quickly you can adapt to changing business needs and requirements. ...</p>"
How to Helm With Sonatype Nexus,Using Sonatype Nexus as a Helm repository for CI/CD,Mar-28,7 min read,In Better Programming,https://medium.com/better-programming/how-to-helm-with-sonatype-nexus-c49c98324a19?source=friends_link&sk=f0512e18a9258e8dd68d90e269036293,0*MT4rtKHy7D6FbHvu,"<p>Helm is the first and the most popular package manager for Kubernetes. It allows DevOps teams to version, distribute, and manage Kubernetes applications.</p><p>Although one can live with standard kubectl commands and Kubernetes manifest YAML files, when organisations work on microservice architecture - with hundreds of containers interacting with each other - it becomes a necessity to version and manage the Kubernetes manifests.</p><p>Helm is now becoming a standard for managing Kubernetes applications and a necessary skill for anyone working with Kubernetes.</p><p>Why Helm?</p><p>The obvious question is: Why do we need Helm? Let’s find out.</p><p>Helm makes templating applications easy</p><p>A Docker image forms a template for a Docker container. You can use one Docker image to create multiple containers from it. ...</p>"
Kubernetes For Beginners,"Kubernetes, for a more general audience",Mar-24,8 min read,In Better Programming,https://medium.com/better-programming/kubernetes-for-beginners-b3042e01ccff?source=friends_link&sk=196e97d92afc3e7623499783b50bfbc0,0*ICfb_U811Cv88Jlo,"<p>Kubernetes has been around for a while. It’s the leading-edge platform that’s changed the way we look at information technology today. The project was started by a bunch of Google developers as a way to orchestrate containers, which they open-sourced to the cloud-native computing foundation. Today it is one of the most popular systems and the de facto standard for running your containers.</p><p>There are various reasons for that. We’ll look into what Kubernetes is in the first place, why it is so popular, and what problem it solves, in plain and simple words. ...</p>"
Demystifying Kubernetes Objects,"Understanding the what, the why, and the how",Mar-23,15 min read,In Better Programming,https://medium.com/better-programming/demystifying-kubernetes-objects-understanding-the-what-why-and-how-18b42c9ca9c2?source=friends_link&sk=137ff6f613c571132e76da88925ecd5b,1*3mo8eobgeQgTM-HtzoOOtg.jpeg,"<p>Kubernetes is now the de facto standard for container orchestration. There are many reasons for its popularity. One excellent rationale is the number of features it brings with itself, as a result of which there are a considerable number of Kubernetes objects.</p><p>In Kubernetes, there are multiple ways to achieve a result, which also causes a lot of confusion among DevOps professionals. This article seeks to address what, how, and why of some often-used Kubernetes objects.</p><p>Understanding how Kubernetes works</p><p>Kubernetes uses a simple concept to manage containers. There are master nodes (control plane) which control and orchestrate the container workloads, and the worker nodes where the containers run. ...</p>"
Using the Azure Kubernetes Provider in a VM Based K8S Cluster,How to Hook in the Azure Cloud Provider for Persistent Volume Claims and Load Balancers with your K8S cluster,Mar-22,4 min read,In The Startup,https://medium.com/swlh/using-the-azure-kubernetes-provider-in-a-vm-based-k8s-cluster-fdf941b86d69?source=friends_link&sk=4b5a6616991688e1ce211f1b7ac3ac0e,0*PLs3CdVkwmFuK_Aa,"<p>There are multiple ways to set up a kubernetes cluster, and some organisations want to start from scratch instead of using managed Kubernetes services. Since organisations which use Azure as a cloud provider do not have visibility of the master nodes as Azure currently does not offer a private master, some have security constraints in using a managed service such as AKS. ...</p>"
